Supplemental Data1:  Measurements of Protein degradation rates in hydroponic plants Arabidopsis,,,,,,,,,,,,,
Criteria: 1. Quantified KD at least two biological Replicates. 2.At least three peptides were used for KD Measurements.3. Outliers in Major Fun Cats (no less than 4 proteins) were highlighted by Red-Bold Fonts.,,,,,,,,,,,,,
AGI,Anno,Location SUBAcon,bincode,binname,Functional Categories (no less than 4 proteins at the 2nd level Mapcave of binname),WTR1 KD (FCP=2.73),WTR2 KD (FCP=2.51),WTR3 KD (FCP=2.64),WT KD (Average),Rep NO,SD,Pep NO,KD Value Rank (1-455)
AT3G04950.1,  Symbols:    CONTAINS InterPro DOMAIN/s: SEC-C motif (InterPro:IPR004027); Has 583 Blast hits to 583 proteins in 248 species: Archae - 0; Bacteria - 488; Metazoa - 0; Fungi - 0; Plants - 34; Viruses - 0; Other Eukaryotes - 61 (source: NCBI BLink).   chr3:1371786-1373300 FORWARD LENGTH=231,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.07,0.06,0.08,0.07,3,0.02,10,260
AT2G21870.1,  Symbols: MGP1   copper ion binding;cobalt ion binding;zinc ion binding   chr2:9320456-9322618 REVERSE LENGTH=240,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.08,0.06,0.07,0.07,3,0.02,6,261
"AT5G62575.1, AT5G62575.2","  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G47833.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr5:25117542-25118565 FORWARD LENGTH=99,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G47833.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).   chr5:25117542-25118565 FORWARD LENGTH=100",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.07,0.07,0.07,0.07,3,0.01,3,262
AT1G26750.1,  Symbols:    unknown protein; Has 44 Blast hits to 44 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr1:9246857-9248053 FORWARD LENGTH=195,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.06,0.08,0.07,0.07,3,0.01,10,264
"AT4G26910.1, AT4G26910.2, AT4G26910.3","  Symbols:    Dihydrolipoamide succinyltransferase   chr4:13520127-13522889 REVERSE LENGTH=464,  Symbols:    Dihydrolipoamide succinyltransferase   chr4:13520127-13522889 REVERSE LENGTH=463,  Symbols:    Dihydrolipoamide succinyltransferase   chr4:13520127-13522055 REVERSE LENGTH=365",mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.06,0.08,0.07,0.07,3,0,25,266
AT1G76200.1,  Symbols:    unknown protein; Has 96 Blast hits to 96 proteins in 48 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 47; Plants - 38; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink).   chr1:28593351-28593980 FORWARD LENGTH=69,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.02,0.12,0.08,0.07,3,0.04,4,269
AT2G33220.1,  Symbols:    GRIM-19 protein   chr2:14078974-14079929 FORWARD LENGTH=143,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.08,0.07,0.07,0.07,3,0.01,9,270
AT5G05990.1,  Symbols:    Mitochondrial glycoprotein family protein   chr5:1806911-1807895 REVERSE LENGTH=259,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.07,0.08,0.07,0.07,3,0.01,4,275
AT3G58520.1,  Symbols:    Ubiquitin carboxyl-terminal hydrolase family protein   chr3:21643921-21645277 REVERSE LENGTH=418,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.1,0.06,0.07,0.07,3,0.03,3,278
AT3G07568.1,  Symbols:    unknown protein; Has 9 Blast hits to 9 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 9; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr3:2416494-2417752 REVERSE LENGTH=68,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.09,0.07,0.07,0.07,3,0.02,5,279
AT1G08480.1,"  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plasma membrane, plastid, vacuole; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 15 growth stages; Has 39 Blast hits to 39 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr1:2684340-2685395 FORWARD LENGTH=142",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.08,0.07,0.08,0.08,3,0.02,17,284
AT2G02510.1,  Symbols:    NADH dehydrogenase (ubiquinone)s   chr2:673338-673556 FORWARD LENGTH=72,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.08,0.08,0.08,0.08,3,0.01,3,286
AT5G42150.1,  Symbols:    Glutathione S-transferase family protein   chr5:16846247-16847909 FORWARD LENGTH=315,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.07,0.08,0.08,0.08,3,0.01,21,287
AT1G68680.1,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 16 growth stages; Has 20 Blast hits to 20 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 20; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr1:25785627-25786622 FORWARD LENGTH=75,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.09,0.08,0.07,0.08,3,0.02,5,291
AT1G53760.1,"  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plasma membrane, plastid, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2343 (InterPro:IPR018786); Has 171 Blast hits to 171 proteins in 90 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 127; Plants - 41; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).   chr1:20069159-20070918 REVERSE LENGTH=272",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.12,0.07,0.06,0.08,3,0.04,3,300
AT1G07615.1,  Symbols:    GTP-binding protein Obg/CgtA   chr1:2342277-2344200 REVERSE LENGTH=493,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.07,0.12,0.07,0.08,3,0.02,3,306
AT2G28430.1,  Symbols:    unknown protein; Has 28 Blast hits to 28 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr2:12159736-12160387 REVERSE LENGTH=85,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.16,0.06,0.04,0.09,3,0.07,7,309
AT4G00026.1,"  Symbols:    FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: cultured cell; CONTAINS InterPro DOMAIN/s: Mitochondrial inner membrane translocase complex, subunit Tim21 (InterPro:IPR013261); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).   chr4:11634-13285 REVERSE LENGTH=269",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.08,0.09,0.09,0.09,3,0.01,12,312
AT2G39795.1,  Symbols:    Mitochondrial glycoprotein family protein   chr2:16597026-16598028 FORWARD LENGTH=250,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.08,0.08,0.11,0.09,3,0.02,7,315
AT3G07480.1,  Symbols:    2Fe-2S ferredoxin-like superfamily protein   chr3:2389026-2389505 FORWARD LENGTH=159,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.09,0.09,0.1,0.09,3,0.01,16,321
AT4G00530.1,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 9 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G01725.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).   chr4:233030-233592 REVERSE LENGTH=71,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.11,0.09,0.11,0.1,3,0.02,6,337
AT5G55610.1,"  Symbols:    unknown protein; LOCATED IN: mitochondrion, chloroplast, plastid, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).   chr5:22525981-22527858 FORWARD LENGTH=329",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.1,0.1,0.12,0.1,3,0.02,3,338
AT1G71730.1,  Symbols:    unknown protein; Has 52 Blast hits to 52 proteins in 24 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).   chr1:26986298-26986831 REVERSE LENGTH=177,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.11,0.09,0.12,0.1,3,0.02,9,339
AT5G23200.1,  Symbols:    unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G08270.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr5:7807319-7808988 FORWARD LENGTH=399,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.1,0.12,0.11,0.11,3,0,3,343
AT2G27730.1,  Symbols:    copper ion binding   chr2:11820056-11820867 REVERSE LENGTH=113,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.11,0.11,0.12,0.11,3,0.02,22,345
"AT5G20090.1, AT5G20090.2","  Symbols:    Uncharacterised protein family (UPF0041)   chr5:6787246-6788000 REVERSE LENGTH=110,  Symbols:    Uncharacterised protein family (UPF0041)   chr5:6787246-6788000 REVERSE LENGTH=110",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.11,0.11,0.11,0.11,3,0.01,3,346
AT4G30010.1,"  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plastid; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; Has 39 Blast hits to 39 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr4:14672947-14673219 FORWARD LENGTH=90",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.11,0.11,0.12,0.11,3,0.01,26,353
"AT4G36400.1, AT4G36400.2","  Symbols:    FAD-linked oxidases family protein   chr4:17197265-17200472 FORWARD LENGTH=559,  Symbols:    FAD-linked oxidases family protein   chr4:17197265-17200472 FORWARD LENGTH=559",mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.12,0.12,0.13,0.12,3,0.01,14,359
"AT3G28700.1, AT3G28700.2","  Symbols:    Protein of unknown function (DUF185)   chr3:10759580-10761834 FORWARD LENGTH=471,  Symbols:    Protein of unknown function (DUF185)   chr3:10759580-10761894 FORWARD LENGTH=471",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.13,0.13,0.13,0.13,3,0.01,5,368
AT2G40765.1,"  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, mitochondrial respiratory chain complex III; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 32 Blast hits to 32 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 32; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr2:17012301-17013081 FORWARD LENGTH=57",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.12,0.14,0.13,0.13,3,0,6,373
AT4G32605.1,  Symbols:    Mitochondrial glycoprotein family protein   chr4:15726429-15727864 REVERSE LENGTH=227,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.12,0.14,0.14,0.13,3,0.01,15,374
"AT1G55160.1, AT1G55160.3","  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plastid; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G19530.1); Has 63 Blast hits to 63 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 63; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr1:20578476-20579803 FORWARD LENGTH=188,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plastid; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G19530.1); Has 63 Blast hits to 63 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 63; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr1:20578476-20579803 FORWARD LENGTH=213","mitochondrion,plastid",#35.2,not assigned.unknown,Not Assigned,0.14,0.12,0.16,0.14,3,0.02,4,381
AT3G55605.1,  Symbols:    Mitochondrial glycoprotein family protein   chr3:20622668-20623889 FORWARD LENGTH=258,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.16,0.16,0.09,0.14,3,0.04,4,382
AT3G62810.1,  Symbols:    complex 1 family protein / LVR family protein   chr3:23227763-23228180 FORWARD LENGTH=106,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.15,0.14,0.14,0.14,3,0.01,27,385
AT1G29810.1,  Symbols:    Transcriptional coactivator/pterin dehydratase   chr1:10435606-10437406 REVERSE LENGTH=187,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.14,0.16,0.15,0.14,3,0,8,387
AT4G22310.1,  Symbols:    Uncharacterised protein family (UPF0041)   chr4:11791443-11792638 FORWARD LENGTH=108,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.15,0.15,0.15,0.15,3,0.01,12,394
AT3G47833.1,  Symbols:    unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G62575.2); Has 42 Blast hits to 42 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr3:17648721-17649829 FORWARD LENGTH=93,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.17,0.14,0.16,0.16,3,0.02,6,400
AT1G47420.1,  Symbols: SDH5   succinate dehydrogenase 5   chr1:17395774-17397176 REVERSE LENGTH=257,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.16,0.16,0.17,0.16,3,0.01,32,404
"AT2G39725.1, AT2G39725.2","  Symbols:    LYR family of Fe/S cluster biogenesis protein   chr2:16570070-16570342 FORWARD LENGTH=90,  Symbols:    LYR family of Fe/S cluster biogenesis protein   chr2:16570070-16570342 FORWARD LENGTH=90",mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.15,0.18,0.18,0.17,3,0.01,3,406
AT1G53460.1,  Symbols:    BEST Arabidopsis thaliana protein match is: Ran BP2/NZF zinc finger-like superfamily protein (TAIR:AT1G70650.2); Has 485 Blast hits to 413 proteins in 88 species: Archae - 11; Bacteria - 27; Metazoa - 119; Fungi - 17; Plants - 101; Viruses - 2; Other Eukaryotes - 208 (source: NCBI BLink).   chr1:19954558-19956509 REVERSE LENGTH=314,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.17,0.17,0.18,0.17,3,0.02,3,408
AT2G04940.1,  Symbols:    scramblase-related   chr2:1736671-1740254 REVERSE LENGTH=392,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.17,0.15,0.2,0.17,3,0.04,6,410
AT3G03590.1,  Symbols:    SWIB/MDM2 domain superfamily protein   chr3:865341-866669 REVERSE LENGTH=143,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.17,0.17,0.19,0.17,3,0.02,4,412
AT1G76060.1,  Symbols: EMB1793   LYR family of Fe/S cluster biogenesis protein   chr1:28543367-28543840 REVERSE LENGTH=157,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.15,0.21,0.18,0.18,3,0.02,9,414
AT3G62530.1,  Symbols:    ARM repeat superfamily protein   chr3:23132219-23133121 FORWARD LENGTH=221,mitochondrion,#35.1.3,not assigned.no ontology.armadillo/beta-catenin repeat family protein,Not Assigned,0.18,0.18,0.21,0.19,3,0.02,49,418
AT3G15000.1,  Symbols:    cobalt ion binding   chr3:5050321-5052121 FORWARD LENGTH=395,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.15,0.25,0.21,0.2,3,0.04,8,419
AT2G35605.1,  Symbols:    SWIB/MDM2 domain superfamily protein   chr2:14946161-14947027 FORWARD LENGTH=109,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.21,0.21,0.2,0.2,3,0.01,14,420
AT5G08060.1,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 16 growth stages; Has 42 Blast hits to 42 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).   chr5:2580588-2580983 FORWARD LENGTH=131,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.21,0.21,0.22,0.21,3,0.02,18,425
"AT4G29440.1, AT4G29440.2","  Symbols:    Regulator of Vps4 activity in the MVB pathway protein   chr4:14473942-14477721 REVERSE LENGTH=1090,  Symbols:    Regulator of Vps4 activity in the MVB pathway protein   chr4:14473942-14477683 REVERSE LENGTH=1062",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.21,0.28,0.19,0.22,3,0.04,3,431
AT3G27570.1,  Symbols:    Sucrase/ferredoxin-like family protein   chr3:10214276-10216681 REVERSE LENGTH=379,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.22,0.22,0.25,0.23,3,0.02,15,432
AT2G31140.1,  Symbols:    Peptidase S24/S26A/S26B/S26C family protein   chr2:13270088-13271619 FORWARD LENGTH=205,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.23,0.22,0.26,0.23,3,0.03,12,434
AT1G20430.1,  Symbols:    unknown protein; Has 29 Blast hits to 29 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 29; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr1:7083471-7083821 REVERSE LENGTH=116,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.24,0.25,0.24,0.24,3,0.01,9,436
AT2G44525.1,  Symbols:    Protein of unknown function (DUF498/DUF598)   chr2:18382130-18383320 FORWARD LENGTH=170,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.23,0.26,0.24,0.24,3,0,6,437
AT5G27760.1,  Symbols:    Hypoxia-responsive family protein   chr5:9830396-9831559 FORWARD LENGTH=96,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.19,0.24,0.3,0.24,3,0.05,4,438
AT1G79390.1,  Symbols:    unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr1:29863465-29864276 REVERSE LENGTH=126,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.24,0.27,0.26,0.26,3,0.01,3,441
AT5G10860.1,  Symbols:    Cystathionine beta-synthase (CBS) family protein   chr5:3429173-3430142 REVERSE LENGTH=206,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.28,0.28,0.28,0.28,3,0.01,31,446
AT3G17300.1,  Symbols:    unknown protein; Has 48 Blast hits to 48 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 40; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).   chr3:5907616-5908695 FORWARD LENGTH=91,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.31,0.31,0.33,0.31,3,0.02,6,449
AT5G24165.1,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G23885.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr5:8188622-8189087 FORWARD LENGTH=75,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.49,0.45,0.5,0.48,3,0.04,6,455
AT5G55070.1,  Symbols:    Dihydrolipoamide succinyltransferase   chr5:22347637-22350409 FORWARD LENGTH=464,mitochondrion,#8.1.5,TCA / org transformation.TCA.2-oxoglutarate dehydrogenase,Organic Acid Transformation,0.03,0.05,0.04,0.04,3,0,25,155
AT4G00570.1,  Symbols: NAD-ME2   NAD-dependent malic enzyme 2   chr4:242817-246522 REVERSE LENGTH=607,mitochondrion,#8.2.10,TCA / org transformation.other organic acid transformatons.malic,Organic Acid Transformation,0.04,0.05,0.05,0.04,3,0.01,88,170
AT2G13560.1,  Symbols: NAD-ME1   NAD-dependent malic enzyme 1   chr2:5650089-5655103 FORWARD LENGTH=623,mitochondrion,#8.2.10,TCA / org transformation.other organic acid transformatons.malic,Organic Acid Transformation,0.05,0.05,0.06,0.05,3,0.01,71,198
AT1G79440.1,"  Symbols: ALDH5F1, SSADH1, SSADH   aldehyde dehydrogenase 5F1   chr1:29882525-29887275 REVERSE LENGTH=528",mitochondrion,#8.2.99,TCA / org transformation.other organic acid transformatons.misc,Organic Acid Transformation,0.06,0.06,0.07,0.06,3,0.01,56,242
AT3G09810.1,  Symbols: IDH-VI   isocitrate dehydrogenase VI   chr3:3008753-3011070 FORWARD LENGTH=374,mitochondrion,#8.2.4,TCA / org transformation.other organic acid transformatons.IDH,Organic Acid Transformation,0.08,0.08,0.09,0.08,3,0.01,15,288
AT1G32470.1,  Symbols:    Single hybrid motif superfamily protein   chr1:11739479-11740246 REVERSE LENGTH=166,mitochondrion,#1.2.4.4,PS.photorespiration.glycine cleavage.H protein,Photorespiration,0.01,0,0.02,0.01,3,0.02,9,83
AT2G35370.1,  Symbols: GDCH   glycine decarboxylase complex H   chr2:14891239-14892050 FORWARD LENGTH=165,mitochondrion,#1.2.4.4,PS.photorespiration.glycine cleavage.H protein,Photorespiration,0.03,0,0.03,0.02,3,0.03,5,105
"AT1G11860.1, AT1G11860.2, AT1G11860.3","  Symbols:    Glycine cleavage T-protein family   chr1:4001801-4003245 FORWARD LENGTH=408,  Symbols:    Glycine cleavage T-protein family   chr1:4001801-4003245 FORWARD LENGTH=408,  Symbols:    Glycine cleavage T-protein family   chr1:4001801-4003245 FORWARD LENGTH=408",mitochondrion,#1.2.4.2,PS.photorespiration.glycine cleavage.T subunit,Photorespiration,0.04,0.02,0.05,0.03,3,0.02,75,137
"AT5G47435.1, AT5G47435.2","  Symbols:    formyltetrahydrofolate deformylase, putative   chr5:19241779-19243424 FORWARD LENGTH=323,  Symbols:    formyltetrahydrofolate deformylase, putative   chr5:19241779-19243424 FORWARD LENGTH=323",mitochondrion,#1.2,PS.photorespiration,Photorespiration,0.05,0.03,0.05,0.04,3,0.02,6,162
AT2G35120.1,  Symbols:    Single hybrid motif superfamily protein   chr2:14805913-14807274 REVERSE LENGTH=156,mitochondrion,#1.2.4.4,PS.photorespiration.glycine cleavage.H protein,Photorespiration,0.12,0.12,0.12,0.11,3,0.01,16,354
AT2G26080.1,"  Symbols: AtGLDP2, GLDP2   glycine decarboxylase P-protein 2   chr2:11109330-11113786 REVERSE LENGTH=1044",mitochondrion,#1.2.4.1,PS.photorespiration.glycine cleavage.P subunit,Photorespiration,0.11,0.12,0.14,0.12,3,0.02,37,360
AT4G33010.1,"  Symbols: AtGLDP1, GLDP1   glycine decarboxylase P-protein 1   chr4:15926852-15931150 REVERSE LENGTH=1037",mitochondrion,#1.2.4.1,PS.photorespiration.glycine cleavage.P subunit,Photorespiration,0.13,0.14,0.16,0.14,3,0.02,3,383
AT5G60960.1,  Symbols:    Pentatricopeptide repeat (PPR) superfamily protein   chr5:24528423-24529988 REVERSE LENGTH=521,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,-0.02,-0.03,-0.01,-0.02,3,0.02,11,14
AT2G37230.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr2:15637177-15639450 REVERSE LENGTH=757,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,-0.01,-0.01,-0.02,-0.02,3,0.01,38,26
AT1G19520.1,  Symbols: NFD5   pentatricopeptide (PPR) repeat-containing protein   chr1:6760032-6762581 FORWARD LENGTH=725,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.01,0.02,0,0.01,3,0.01,13,75
AT3G02650.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr3:568135-569865 FORWARD LENGTH=576,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.01,0.01,0.01,0.01,3,0.01,25,76
AT3G13160.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr3:4229994-4231178 REVERSE LENGTH=394,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.04,0.04,0.02,0.03,3,0.01,27,142
AT4G35850.1,  Symbols:    Pentatricopeptide repeat (PPR) superfamily protein   chr4:16983638-16986681 FORWARD LENGTH=444,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.04,0.05,0.04,0.04,3,0,34,161
