Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides blank	Peptides clp1p_1	Peptides clp1p_2	Peptides clp1p_3	Peptides clp1p_4	Peptides clp1s_1	Peptides clp1s_2	Peptides clp1s_3	Peptides clp1s_4	Peptides clp2p_1	Peptides clp2p_2	Peptides clp2p_3	Peptides clp2p_4	Peptides clp2s_1	Peptides clp2s_2	Peptides clp2s_3	Peptides clp2s_4	Peptides pool_p	Peptides pool_s	Peptides wtp_1	Peptides wtp_2	Peptides wtp_3	Peptides wtp_4	Peptides wts_1	Peptides wts_2	Peptides wts_3	Peptides wts_4	Razor + unique peptides blank	Razor + unique peptides clp1p_1	Razor + unique peptides clp1p_2	Razor + unique peptides clp1p_3	Razor + unique peptides clp1p_4	Razor + unique peptides clp1s_1	Razor + unique peptides clp1s_2	Razor + unique peptides clp1s_3	Razor + unique peptides clp1s_4	Razor + unique peptides clp2p_1	Razor + unique peptides clp2p_2	Razor + unique peptides clp2p_3	Razor + unique peptides clp2p_4	Razor + unique peptides clp2s_1	Razor + unique peptides clp2s_2	Razor + unique peptides clp2s_3	Razor + unique peptides clp2s_4	Razor + unique peptides pool_p	Razor + unique peptides pool_s	Razor + unique peptides wtp_1	Razor + unique peptides wtp_2	Razor + unique peptides wtp_3	Razor + unique peptides wtp_4	Razor + unique peptides wts_1	Razor + unique peptides wts_2	Razor + unique peptides wts_3	Razor + unique peptides wts_4	Unique peptides blank	Unique peptides clp1p_1	Unique peptides clp1p_2	Unique peptides clp1p_3	Unique peptides clp1p_4	Unique peptides clp1s_1	Unique peptides clp1s_2	Unique peptides clp1s_3	Unique peptides clp1s_4	Unique peptides clp2p_1	Unique peptides clp2p_2	Unique peptides clp2p_3	Unique peptides clp2p_4	Unique peptides clp2s_1	Unique peptides clp2s_2	Unique peptides clp2s_3	Unique peptides clp2s_4	Unique peptides pool_p	Unique peptides pool_s	Unique peptides wtp_1	Unique peptides wtp_2	Unique peptides wtp_3	Unique peptides wtp_4	Unique peptides wts_1	Unique peptides wts_2	Unique peptides wts_3	Unique peptides wts_4	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Sequence coverage blank [%]	Sequence coverage clp1p_1 [%]	Sequence coverage clp1p_2 [%]	Sequence coverage clp1p_3 [%]	Sequence coverage clp1p_4 [%]	Sequence coverage clp1s_1 [%]	Sequence coverage clp1s_2 [%]	Sequence coverage clp1s_3 [%]	Sequence coverage clp1s_4 [%]	Sequence coverage clp2p_1 [%]	Sequence coverage clp2p_2 [%]	Sequence coverage clp2p_3 [%]	Sequence coverage clp2p_4 [%]	Sequence coverage clp2s_1 [%]	Sequence coverage clp2s_2 [%]	Sequence coverage clp2s_3 [%]	Sequence coverage clp2s_4 [%]	Sequence coverage pool_p [%]	Sequence coverage pool_s [%]	Sequence coverage wtp_1 [%]	Sequence coverage wtp_2 [%]	Sequence coverage wtp_3 [%]	Sequence coverage wtp_4 [%]	Sequence coverage wts_1 [%]	Sequence coverage wts_2 [%]	Sequence coverage wts_3 [%]	Sequence coverage wts_4 [%]	Intensity	Intensity blank	Intensity clp1p_1	Intensity clp1p_2	Intensity clp1p_3	Intensity clp1p_4	Intensity clp1s_1	Intensity clp1s_2	Intensity clp1s_3	Intensity clp1s_4	Intensity clp2p_1	Intensity clp2p_2	Intensity clp2p_3	Intensity clp2p_4	Intensity clp2s_1	Intensity clp2s_2	Intensity clp2s_3	Intensity clp2s_4	Intensity pool_p	Intensity pool_s	Intensity wtp_1	Intensity wtp_2	Intensity wtp_3	Intensity wtp_4	Intensity wts_1	Intensity wts_2	Intensity wts_3	Intensity wts_4	LFQ intensity blank	LFQ intensity clp1p_1	LFQ intensity clp1p_2	LFQ intensity clp1p_3	LFQ intensity clp1p_4	LFQ intensity clp1s_1	LFQ intensity clp1s_2	LFQ intensity clp1s_3	LFQ intensity clp1s_4	LFQ intensity clp2p_1	LFQ intensity clp2p_2	LFQ intensity clp2p_3	LFQ intensity clp2p_4	LFQ intensity clp2s_1	LFQ intensity clp2s_2	LFQ intensity clp2s_3	LFQ intensity clp2s_4	LFQ intensity pool_p	LFQ intensity pool_s	LFQ intensity wtp_1	LFQ intensity wtp_2	LFQ intensity wtp_3	LFQ intensity wtp_4	LFQ intensity wts_1	LFQ intensity wts_2	LFQ intensity wts_3	LFQ intensity wts_4	MS/MS count blank	MS/MS count clp1p_1	MS/MS count clp1p_2	MS/MS count clp1p_3	MS/MS count clp1p_4	MS/MS count clp1s_1	MS/MS count clp1s_2	MS/MS count clp1s_3	MS/MS count clp1s_4	MS/MS count clp2p_1	MS/MS count clp2p_2	MS/MS count clp2p_3	MS/MS count clp2p_4	MS/MS count clp2s_1	MS/MS count clp2s_2	MS/MS count clp2s_3	MS/MS count clp2s_4	MS/MS count pool_p	MS/MS count pool_s	MS/MS count wtp_1	MS/MS count wtp_2	MS/MS count wtp_3	MS/MS count wtp_4	MS/MS count wts_1	MS/MS count wts_2	MS/MS count wts_3	MS/MS count wts_4	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
AT5G03300.3;AT5G03300.2;AT5G03300.1;AT3G09820.2;AT3G09820.1	AT5G03300.3;AT5G03300.2;AT5G03300.1;AT3G09820.2;AT3G09820.1	2;2;2;1;1	2;2;2;1;1	2;2;2;1;1	AT5G03300.3 | adenosine kinase 2 | Chr5:797155-798997 FORWARD LENGTH=292 | 201606;AT5G03300.2 | adenosine kinase 2 | Chr5:797155-798997 FORWARD LENGTH=292 | 201606;AT5G03300.1 | adenosine kinase 2 | Chr5:796573-798997 FORWARD LENGTH=345 | 201606;AT3G09820.	5	2	2	2	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	8.2	8.2	8.2	31.989	292	292;292;345;302;344	1	7	0.0012361	11.336	0	0	0	0	0	0	4.1	4.1	4.1	0	0	0	0	4.1	0	4.1	0	0	0	0	0	0	0	0	4.1	4.1	0	32723000	0	0	0	0	0	0	2400700	19762000	1488900	0	0	0	0	3688100	0	823090	0	0	0	0	0	0	0	0	2360100	2199900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33989	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	6				694	201;1328	True;True	203;1364	1743;1744;1745;1746;1747;1748;12582	1778;1779;1780;1781;1782;1783;13062	1779;13062		
AT5G03370.1	AT5G03370.1	1	1	1	AT5G03370.1 | acylphosphatase family | Chr5:825798-827020 REVERSE LENGTH=171 | 201606	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	9.4	9.4	9.4	18.888	171	171	1	8	0.0011696	8.1596	0	0	9.4	9.4	9.4	0	0	0	0	0	9.4	9.4	0	0	0	0	0	0	0	0	9.4	9.4	9.4	0	0	0	0	4844800	0	0	343810	1130200	813800	0	0	0	0	0	382460	737840	0	0	0	0	0	0	0	0	224950	913070	298680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13813	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	8				695	5202	True	5358	50950;50951;50952;50953;50954;50955;50956;50957	53086;53087;53088;53089;53090;53091;53092;53093	53090		
AT5G03860.2;AT5G03860.1	AT5G03860.2;AT5G03860.1	25;25	25;25	25;25	AT5G03860.2 | malate synthase | Chr5:1032276-1034527 REVERSE LENGTH=562 | 201606;AT5G03860.1 | malate synthase | Chr5:1032276-1034527 REVERSE LENGTH=562 | 201606	2	25	25	25	3	2	2	0	3	8	10	11	7	6	4	6	0	17	18	18	17	13	2	7	0	1	2	9	7	3	11	3	2	2	0	3	8	10	11	7	6	4	6	0	17	18	18	17	13	2	7	0	1	2	9	7	3	11	3	2	2	0	3	8	10	11	7	6	4	6	0	17	18	18	17	13	2	7	0	1	2	9	7	3	11	43.8	43.8	43.8	63.886	562	562;562	1	187	0	183.45	6.4	4.1	3.9	0	6	16	19.4	21.5	13.9	11.7	7.8	9.6	0	35.4	35.9	33.3	31.3	24.9	4.1	15.3	0	2.5	4.3	18.1	14.1	6.2	22.1	5889300000	1419600	4229600	3784300	0	10366000	142630000	345200000	268960000	194090000	33402000	11661000	23828000	0	987040000	1602700000	446660000	878220000	249270000	7145700	48529000	0	1218700	3271300	188960000	129840000	46489000	260380000	468870	163040	112930	0	297950	2757300	4709600	4903900	2816100	1059100	678510	652810	0	13284000	13695000	12998000	13234000	7164100	243850	2071200	0	0	149550	2516700	2156000	802750	3614100	2	2	2	0	3	9	10	11	7	6	4	6	0	17	17	17	16	13	2	6	0	1	2	9	8	3	12	185				696	422;775;834;861;1078;1099;1903;2064;2428;2429;2747;2942;3627;3661;4170;4215;4306;4318;4862;5364;5396;5564;5780;5882;5944	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	432;794;854;882;1108;1130;1950;2117;2487;2488;2822;3023;3730;3769;4303;4349;4441;4453;5011;5525;5557;5730;5952;6057;6122	3777;3778;3779;3780;3781;3782;3783;3784;3785;3786;3787;3788;3789;3790;3791;3792;3793;3794;3795;3796;3797;3798;7276;7277;7278;7279;7280;7281;7861;7862;7863;7864;8117;8118;8119;8120;8121;8122;8123;10405;10406;10407;10408;10409;10410;10570;10571;10572;10573;10574;10575;10576;10577;10578;10579;17881;17882;17883;19545;19546;23400;23401;23402;23403;23404;23405;23406;23407;26610;28813;28814;28815;28816;28817;28818;28819;28820;28821;28822;28823;28824;28825;35474;35475;35476;35477;35695;35696;35697;35698;35699;35700;35701;35702;35703;35704;35705;35706;35707;35708;40550;40551;40552;40553;40554;40555;40556;40557;40558;40559;40560;40561;40957;41716;41717;41718;41719;41720;41721;41722;41723;41724;41725;41726;41727;41728;41729;41730;41731;41778;41779;47246;47247;47248;47249;47250;47251;47252;47253;47254;47255;47256;47257;47258;52499;52500;52811;54416;54417;54418;54419;56508;57545;57546;57547;57548;57549;57550;57551;57552;57553;57554;57555;57556;57557;57558;57559;57560;57561;58336;58337;58338;58339;58340;58341;58342;58343;58344;58345;58346;58347;58348;58349;58350;58351;58352;58353	3885;3886;3887;3888;3889;3890;3891;3892;3893;3894;3895;3896;3897;3898;3899;3900;3901;3902;3903;3904;3905;3906;3907;7531;7532;7533;7534;7535;7536;8130;8131;8132;8133;8392;8393;8394;8395;8396;8397;8398;10777;10778;10779;10780;10781;10782;10950;10951;10952;10953;10954;10955;10956;10957;10958;10959;18621;18622;18623;20329;20330;24343;24344;24345;24346;24347;24348;24349;24350;27668;29958;29959;29960;29961;29962;29963;29964;29965;29966;29967;29968;29969;29970;29971;36959;36960;36961;36962;37191;37192;37193;37194;37195;37196;37197;37198;37199;37200;37201;37202;37203;37204;42256;42257;42258;42259;42260;42261;42262;42263;42264;42265;42266;42267;42268;42692;43488;43489;43490;43491;43492;43493;43494;43495;43496;43497;43498;43499;43500;43501;43502;43503;43550;43551;49253;49254;49255;49256;49257;49258;49259;49260;49261;49262;49263;49264;49265;54709;54710;55037;56680;56681;56682;56683;58849;59922;59923;59924;59925;59926;59927;59928;59929;59930;59931;59932;59933;59934;59935;59936;59937;59938;60757;60758;60759;60760;60761;60762;60763;60764;60765;60766;60767;60768;60769;60770;60771;60772;60773;60774;60775	3893;7536;8132;8395;10778;10952;18622;20330;24346;24349;27668;29965;36959;37198;42256;42692;43491;43550;49262;54709;55037;56681;58849;59929;60765		
AT5G03905.1;AT5G03905.2	AT5G03905.1;AT5G03905.2	3;2	3;2	3;2	AT5G03905.1 | Iron-sulfur cluster biosynthesis family protein | Chr5:1052728-1054041 FORWARD LENGTH=158 | 201606;AT5G03905.2 | Iron-sulfur cluster biosynthesis family protein | Chr5:1052728-1053631 FORWARD LENGTH=115 | 201606	2	3	3	3	0	2	2	3	3	1	0	1	2	3	3	3	1	0	0	1	1	1	2	1	1	1	1	1	1	1	1	0	2	2	3	3	1	0	1	2	3	3	3	1	0	0	1	1	1	2	1	1	1	1	1	1	1	1	0	2	2	3	3	1	0	1	2	3	3	3	1	0	0	1	1	1	2	1	1	1	1	1	1	1	1	24.1	24.1	24.1	17.414	158	158;115	1	38	0	21.611	0	16.5	16.5	24.1	24.1	8.9	0	8.9	16.5	24.1	24.1	24.1	8.9	0	0	8.9	8.9	8.9	16.5	8.9	8.9	7.6	8.9	8.9	8.9	8.9	8.9	159860000	0	8575400	9146500	19381000	16637000	3877200	0	3950200	5405500	18923000	10838000	15355000	70772	0	0	1643300	4292900	2932600	9558500	2172600	1765200	8304700	2154900	4832200	3186100	2567100	4286400	0	409780	369190	506010	446260	0	0	0	0	457820	538120	409630	0	0	0	0	0	0	419570	0	0	0	0	0	0	0	0	0	2	2	3	3	1	0	1	2	4	3	3	1	0	0	1	1	1	2	1	1	1	1	1	1	1	1	38				697	1758;3252;3666	True;True;True	1804;3340;3774	16642;16643;16644;16645;16646;16647;16648;16649;16650;31671;31672;31673;31674;31675;31676;31677;31678;31679;31680;31681;31682;31683;31684;31685;31686;31687;31688;31689;31690;31691;31692;35720;35721;35722;35723;35724;35725;35726	17330;17331;17332;17333;17334;17335;17336;17337;17338;32965;32966;32967;32968;32969;32970;32971;32972;32973;32974;32975;32976;32977;32978;32979;32980;32981;32982;32983;32984;32985;32986;37216;37217;37218;37219;37220;37221;37222	17336;32983;37222		
AT5G04130.1;AT5G04130.3;AT5G04130.2;AT3G10270.1;AT3G10270.2	AT5G04130.1;AT5G04130.3;AT5G04130.2;AT3G10270.1;AT3G10270.2	4;3;3;2;2	4;3;3;2;2	4;3;3;2;2	AT5G04130.1 | DNA GYRASE B2 | Chr5:1122084-1128031 REVERSE LENGTH=732 | 201606;AT5G04130.3 | DNA GYRASE B2 | Chr5:1123729-1128031 REVERSE LENGTH=519 | 201606;AT5G04130.2 | DNA GYRASE B2 | Chr5:1123729-1128031 REVERSE LENGTH=519 | 201606;AT3G10270.1 | DNA g	5	4	4	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	1	1	6.7	6.7	6.7	81.052	732	732;519;519;730;740	1	11	0	36.777	0	0	0	0	0	0	0	1.6	1.6	0	0	0	0	0	3	3	5.3	0	0	0	0	0	0	0	0	1.6	1.6	27641000	0	0	0	0	0	0	0	3288900	1939700	0	0	0	0	0	5003400	3432300	9365300	0	0	0	0	0	0	0	0	1943500	2667600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46651	105570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	1	1	11				698	886;2709;4766;5007	True;True;True;True	907;2784;4911;5161	8253;8254;26291;46207;46208;46209;46210;46211;46212;46213;49064	8531;8532;27340;48152;48153;48154;48155;48156;48157;48158;51117	8532;27340;48154;51117		
AT5G04590.1	AT5G04590.1	4	4	4	AT5G04590.1 | sulfite reductase | Chr5:1319404-1322298 FORWARD LENGTH=642 | 201606	1	4	4	4	0	0	1	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	7.2	7.2	7.2	71.949	642	642	1	10	0	23.108	0	0	1.6	4	5.6	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	20287000	0	0	1655100	5748500	7539400	0	0	0	0	0	0	3745600	0	0	0	0	0	0	780570	0	818080	0	0	0	0	0	0	0	0	0	166040	176330	0	0	0	0	0	0	105510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	10				699	2707;3079;3306;5309	True;True;True;True	2782;3161;3396;5470	26284;26285;26286;29936;32221;32222;32223;32224;32225;51998	27333;27334;27335;31137;33543;33544;33545;33546;33547;54194	27333;31137;33545;54194		
AT5G04740.1;AT5G04740.2	AT5G04740.1	4;1	4;1	4;1	AT5G04740.1 | ACT domain-containing protein | Chr5:1368713-1371391 REVERSE LENGTH=301 | 201606	2	4	4	4	0	1	2	2	4	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	1	2	2	4	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	1	2	2	4	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	17.6	17.6	17.6	33.242	301	301;200	1	23	0	25.799	0	4	8.6	8.6	17.6	0	0	0	0	8.6	4.7	8.6	0	0	0	0	0	0	0	4	0	14	14	0	0	0	0	51750000	0	1453900	6379900	7615900	10727000	0	0	0	0	3740200	772820	5885400	0	0	0	0	0	0	0	2226000	0	5809400	7139900	0	0	0	0	0	0	281710	244600	220430	0	0	0	0	130830	0	179100	0	0	0	0	0	0	0	0	0	215420	247990	0	0	0	0	0	1	2	2	4	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	21				700	359;523;893;3015	True;True;True;True	365;538;915;3097	3313;4762;4763;4764;8394;8395;8396;8397;8398;8399;8400;8401;8402;29277;29278;29279;29280;29281;29282;29283;29284;29285;29286	3404;4922;4923;4924;8678;8679;8680;8681;8682;8683;8684;8685;8686;30451;30452;30453;30454;30455;30456;30457;30458;30459;30460	3404;4922;8685;30451		
AT5G04750.1	AT5G04750.1	8	8	8	AT5G04750.1 | F1F0-ATPase inhibitor protein | Chr5:1372202-1373361 FORWARD LENGTH=94 | 201606	1	8	8	8	0	1	2	1	2	3	4	4	5	3	3	2	0	3	3	4	4	4	2	3	1	1	1	5	3	4	4	0	1	2	1	2	3	4	4	5	3	3	2	0	3	3	4	4	4	2	3	1	1	1	5	3	4	4	0	1	2	1	2	3	4	4	5	3	3	2	0	3	3	4	4	4	2	3	1	1	1	5	3	4	4	35.1	35.1	35.1	10.703	94	94	1	89	0	60.795	0	11.7	24.5	11.7	21.3	24.5	24.5	24.5	24.5	24.5	12.8	24.5	0	24.5	25.5	24.5	24.5	24.5	24.5	34	10.6	11.7	11.7	25.5	24.5	24.5	24.5	1018600000	0	3180200	8798000	4292000	16582000	36839000	43402000	17273000	115860000	16529000	6187100	6409000	0	72057000	103530000	31422000	107560000	55395000	9635200	20178000	1408700	3242300	2095400	111110000	62739000	58441000	104430000	0	0	0	0	0	686010	984980	534560	1101500	430920	636780	485420	0	1113100	1057100	1679600	833980	847290	0	0	0	0	0	826910	1046500	868900	1338900	0	1	2	1	2	4	4	4	7	3	3	2	0	6	6	4	6	6	2	3	1	1	1	6	4	5	5	89				701	301;2069;2892;2902;2903;2904;3186;3187	True;True;True;True;True;True;True;True	306;2122;2972;2982;2983;2984;3273;3274	2687;2688;19590;19591;19592;19593;19594;28237;28238;28239;28240;28369;28370;28371;28372;28373;28374;28375;28376;28377;28378;28379;28380;28381;28382;28383;28384;28385;28386;28387;28388;28389;28390;28391;28392;28393;28394;28395;28396;28397;28398;28399;28400;28401;28402;28403;28404;28405;28406;28407;28408;28409;28410;28411;28412;28413;28414;30982;30983;30984;30985;30986;30987;30988;30989;30990;30991;30992;30993;30994;30995;30996;30997;30998;30999;31000;31001;31002;31003;31004;31005;31006;31007;31008;31009;31010;31011;31012;31013	2747;2748;20376;20377;20378;20379;20380;29354;29355;29356;29357;29501;29502;29503;29504;29505;29506;29507;29508;29509;29510;29511;29512;29513;29514;29515;29516;29517;29518;29519;29520;29521;29522;29523;29524;29525;29526;29527;29528;29529;29530;29531;29532;29533;29534;29535;29536;29537;29538;29539;29540;29541;29542;29543;29544;29545;29546;32242;32243;32244;32245;32246;32247;32248;32249;32250;32251;32252;32253;32254;32255;32256;32257;32258;32259;32260;32261;32262;32263;32264;32265;32266;32267;32268;32269;32270;32271;32272;32273;32274	2747;20379;29356;29514;29529;29543;32246;32267		
AT5G04830.2;AT5G04830.1	AT5G04830.2;AT5G04830.1	3;3	3;3	3;3	AT5G04830.2 | Nuclear transport factor 2 (NTF2) family protein | Chr5:1402294-1403671 REVERSE LENGTH=178 | 201606;AT5G04830.1 | Nuclear transport factor 2 (NTF2) family protein | Chr5:1402294-1403671 REVERSE LENGTH=178 | 201606	2	3	3	3	0	0	0	0	0	1	1	3	1	0	0	0	0	1	1	2	2	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	3	1	0	0	0	0	1	1	2	2	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	3	1	0	0	0	0	1	1	2	2	2	0	0	0	0	0	1	1	1	1	30.3	30.3	30.3	20.294	178	178;178	1	18	0	17.76	0	0	0	0	0	9	9	30.3	9	0	0	0	0	9	9	16.9	16.9	16.9	0	0	0	0	0	9	7.9	9	9	176860000	0	0	0	0	0	9098200	12425000	35833000	11122000	0	0	0	0	10340000	17855000	12035000	20744000	15371000	0	0	0	0	0	0	9992400	10493000	11552000	0	0	0	0	0	0	0	450870	0	0	0	0	0	0	0	417900	342420	473790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	1	1	2	2	2	0	0	0	0	0	1	1	1	1	18				702	420;2598;2721	True;True;True	430;2670;2796	3773;25246;25247;25248;25249;25250;26407;26408;26409;26410;26411;26412;26413;26414;26415;26416;26417;26418	3881;26252;26253;26254;26255;26256;27458;27459;27460;27461;27462;27463;27464;27465;27466;27467;27468;27469	3881;26252;27463		
AT5G05520.1	AT5G05520.1	6	5	5	AT5G05520.1 | Outer membrane OMP85 family protein | Chr5:1632912-1635104 FORWARD LENGTH=524 | 201606	1	6	5	5	0	0	0	0	0	1	2	2	2	0	0	0	0	0	1	3	1	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	2	1	0	0	0	0	0	1	3	1	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	2	1	0	0	0	0	0	1	3	1	2	0	0	0	0	0	1	1	0	1	13.9	9.4	9.4	58.519	524	524	1	17	0	37.797	0	0	0	0	0	2.3	5	5	7.3	0	0	0	0	0	2.3	5	2.7	5	0	0	0	0	0	2.3	2.3	0	1.7	166230000	0	0	0	0	0	12650000	21203000	19490000	0	0	0	0	0	0	32853000	9421000	5927800	10091000	0	0	0	0	0	26929000	19184000	0	8478900	0	0	0	0	0	0	0	240460	0	0	0	0	0	0	0	379550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	1	3	2	2	0	0	0	0	0	1	1	0	1	17				703	1425;2705;4217;4649;5026;5152	True;False;True;True;True;True	1465;2780;4351;4791;5180;5307	13560;26281;40963;40964;40965;40966;40967;40968;44972;44973;44974;44975;44976;44977;44978;44979;49271;50538	14129;27330;42698;42699;42700;42701;42702;42703;46877;46878;46879;46880;46881;46882;46883;46884;51333;52655	14129;27330;42701;46879;51333;52655		
AT5G05990.1	AT5G05990.1	1	1	1	AT5G05990.1 | Mitochondrial glycoprotein family protein | Chr5:1806911-1807895 REVERSE LENGTH=259 | 201606	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	4.2	4.2	4.2	30.069	259	259	1	11	0.0011682	8.1453	0	4.2	4.2	4.2	4.2	0	0	0	0	4.2	4.2	4.2	0	0	0	0	0	0	0	4.2	4.2	4.2	4.2	0	0	0	0	38486000	0	2970700	3922700	5116800	5350600	0	0	0	0	4364300	2227300	4844000	0	0	0	0	0	0	0	2873700	1880100	2745700	2190300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101290	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	11				704	2512	True	2575	24417;24418;24419;24420;24421;24422;24423;24424;24425;24426;24427	25378;25379;25380;25381;25382;25383;25384;25385;25386;25387;25388	25387		
AT5G06410.1	AT5G06410.1	1	1	1	AT5G06410.1 | DNAJ heat shock N-terminal domain-containing protein | Chr5:1959719-1961132 REVERSE LENGTH=252 | 201606	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	6.3	6.3	6.3	28.931	252	252	1	19	0.0011723	8.2613	0	6.3	6.3	6.3	6.3	6.3	0	0	6.3	6.3	6.3	6.3	0	0	0	6.3	0	6.3	6.3	6.3	6.3	6.3	6.3	6.3	6.3	0	6.3	63129000	0	2639700	2405300	3742000	5434100	5358100	0	0	0	4313900	1966900	3423900	0	0	0	2653900	0	1995200	3115400	2395900	2018300	3653300	2944000	4967700	4885000	0	5216800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64129	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	19				705	1075	True	1105	10361;10362;10363;10364;10365;10366;10367;10368;10369;10370;10371;10372;10373;10374;10375;10376;10377;10378;10379	10733;10734;10735;10736;10737;10738;10739;10740;10741;10742;10743;10744;10745;10746;10747;10748;10749;10750;10751	10751		
