Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT5G21020	AT5G21020.2	transmembrane protein;(source:Araport11)	protein_coding			
AT3G19660	AT3G19660.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G62450	AT3G62450.1	DNA mismatch repair protein;(source:Araport11)	protein_coding			
AT1G09520	AT1G09520.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G34238	AT2G34238.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G21065	AT1G21065.1	secondary thiamine-phosphate synthase enzyme;(source:Araport11)	protein_coding			
AT5G33806	AT5G33806.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G14358	AT4G14358.1	high affinity nitrate transporter;(source:Araport11)	protein_coding			
AT1G04590	AT1G04590.2	PPR containing-like protein;(source:Araport11)	protein_coding			
AT1G05060	AT1G05060.1	coiled-coil protein;(source:Araport11)	protein_coding			
AT4G22320	AT4G22320.1	golgin family A protein;(source:Araport11)	protein_coding			
AT5G17180	AT5G17180.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G06930	AT1G06930.1	TPRXL;(source:Araport11)	protein_coding			
AT3G20898	AT3G20898.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G02540	AT1G02540.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G60480	AT3G60480.1	StAR lipid transfer-like protein;(source:Araport11)	protein_coding			
AT5G35069	AT5G35069.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G29034	AT3G29034.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G24175	AT4G24175.1	kinesin-like protein;(source:Araport11)	protein_coding			
AT5G11416	AT5G11416.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT4G10890	AT4G10890.1	DDE family endonuclease;(source:Araport11)	protein_coding			
AT2G34270	AT2G34270.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G06676	AT4G06676.1	etoposide-induced protein;(source:Araport11)	protein_coding			
AT2G46550	AT2G46550.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G62920	AT3G62920.1	zinc metalloproteinase aureolysin;(source:Araport11)	protein_coding			
AT1G62070	AT1G62070.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G53366	AT1G53366.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G70470	AT1G70470.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G40765	AT2G40765.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G20515	AT2G20515.1	pollen Ole e I family allergen protein;(source:Araport11)	protein_coding			
AT4G35725	AT4G35725.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G15270	AT2G15270.1	PRKR-interacting protein;(source:Araport11)	protein_coding			
AT3G43480	AT3G43480.1	CCHC-type zinc knuckle protein;(source:Araport11)	protein_coding			
AT5G57060	AT5G57060.1	60S ribosomal L18a-like protein;(source:Araport11)	protein_coding			
AT2G01640	AT2G01640.1	ribosome biogenesis protein;(source:Araport11)	protein_coding			
AT5G15853	AT5G15853.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G35480	AT2G35480.1	envelope glycoprotein;(source:Araport11)	protein_coding			
AT1G50530	AT1G50530.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G19970	AT5G19970.1	GRAS family transcription factor family protein;(source:Araport11)	protein_coding			
AT3G19200	AT3G19200.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G01990	AT2G01990.1	XRI1-like protein;(source:Araport11)	protein_coding			
AT5G10710	AT5G10710.2	centromere protein O;(source:Araport11)	protein_coding			
AT2G35200	AT2G35200.1	DUF740 family protein;(source:Araport11)	protein_coding			
AT2G36815	AT2G36815.1	mid region of cactin;(source:Araport11)	protein_coding			
AT1G74088	AT1G74088.2	galacturonosyltransferase;(source:Araport11)	protein_coding			
AT4G38820	AT4G38820.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G27660	AT4G27660.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G55640	AT5G55640.1	Na-translocating NADH-quinone reductase subunit A;(source:Araport11)	protein_coding			
AT2G07684	AT2G07684.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G55675	AT1G55675.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G60030	AT5G60030.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G51540	AT3G51540.1	mucin-5AC-like protein;(source:Araport11)	protein_coding			
AT5G66810	AT5G66810.1	Ran-binding protein in the microtubule-organising centre protein;(source:Araport11)	protein_coding			
AT5G01570	AT5G01570.1	plectin-like protein;(source:Araport11)	protein_coding			
AT3G28280	AT3G28280.1	F-box/associated interaction domain protein;(source:Araport11)	protein_coding			
AT1G54575	AT1G54575.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G09195	AT1G09195.2	Ppx-GppA phosphatase;(source:Araport11)	protein_coding			
AT5G50361	AT5G50361.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G59077	AT1G59077.1	B-block-binding subunit of TFIIIC protein;(source:Araport11)	protein_coding			
AT2G07830	AT2G07830.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G76994	AT1G76994.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G15909	AT3G15909.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G46560	AT5G46560.1	Man1-Src1p-carboxy-terminal domain protein;(source:Araport11)	protein_coding			
AT2G07827	AT2G07827.2	hypothetical protein;(source:Araport11)	protein_coding			
AT2G29654	AT2G29654.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G53611	AT3G53611.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT1G40129	AT1G40129.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G42955	AT2G42955.1	F-box/LRR protein;(source:Araport11)	protein_coding			
AT1G05330	AT1G05330.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G22875	AT5G22875.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G50290	AT5G50290.1	wall-associated receptor kinase galacturonan-binding protein;(source:Araport11)	protein_coding			
AT3G24710	AT3G24710.1	NADPH-dependent diflavin oxidoreductase;(source:Araport11)	protein_coding			
AT1G08530	AT1G08530.1	chitinase-like protein;(source:Araport11)	protein_coding			
AT5G03944	AT5G03944.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G16750	AT3G16750.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G02670	AT5G02670.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G24880	AT4G24880.1	snurportin-1 protein;(source:Araport11)	protein_coding			
AT1G28400	AT1G28400.1	GATA zinc finger protein;(source:Araport11)	protein_coding			
AT4G10140	AT4G10140.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G03050	AT5G03050.1	knotted 1-binding protein;(source:Araport11)	protein_coding			
AT5G54067	AT5G54067.1	B3 domain protein;(source:Araport11)	protein_coding			
AT4G05091	AT4G05091.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT4G21902	AT4G21902.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G47700	AT1G47700.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G40855	AT5G40855.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G47510	AT3G47510.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G66658	AT5G66658.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G30845	AT4G30845.1	DNA-directed RNA polymerase subunit beta;(source:Araport11)	protein_coding			
AT5G60400	AT5G60400.3	hypothetical protein;(source:Araport11)	protein_coding			
AT4G26240	AT4G26240.1	histone-lysine N-methyltransferase;(source:Araport11)	protein_coding			
AT4G39235	AT4G39235.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G42080	AT1G42080.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G20900	AT3G20900.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G63530	AT1G63530.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G35765	AT2G35765.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G28500	AT5G28500.1	rubisco accumulation factor-like protein;(source:Araport11)	protein_coding			
AT5G44565	AT5G44565.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G58877	AT3G58877.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G01021	AT2G01021.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G51390	AT5G51390.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G47813	AT1G47813.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G05400	AT1G05400.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G49710	AT5G49710.3	RING finger protein;(source:Araport11)	protein_coding			
AT5G66820	AT5G66820.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G52105	AT3G52105.1	DIS3-exonuclease-like protein;(source:Araport11)	protein_coding			
AT4G37608	AT4G37608.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G00280	AT4G00280.1	ER protein carbohydrate-binding protein;(source:Araport11)	protein_coding			
AT1G04555	AT1G04555.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G06868	AT3G06868.1	vitellogenin-like protein;(source:Araport11)	protein_coding			
AT4G10860	AT4G10860.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G12461	AT2G12461.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G27247	AT5G27247.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT2G47200	AT2G47200.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G11780	AT5G11780.1	SNF2 domain protein;(source:Araport11)	protein_coding			
AT2G05752	AT2G05752.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G34070	AT1G34070.1	Copia-like polyprotein/retrotransposon;(source:Araport11)	protein_coding			
AT4G17850	AT4G17850.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G32410	AT3G32410.1	actin-binding FH2 (formin-like) protein;(source:Araport11)	protein_coding			
AT2G17043	AT2G17043.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G10946	AT5G10946.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G22080	AT2G22080.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G42370	AT2G42370.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G43250	AT2G43250.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G34560	AT4G34560.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G01910	AT5G01910.1	myelin transcription factor;(source:Araport11)	protein_coding			
AT1G73930	AT1G73930.1	polarity axis stabilization protein;(source:Araport11)	protein_coding			
AT5G14230	AT5G14230.1	ankyrin;(source:Araport11)	protein_coding			
AT5G25600	AT5G25600.1	putative nucleic-acid protein;(source:Araport11)	protein_coding			
AT5G45320	AT5G45320.1	late embryogenesis abundant protein;(source:Araport11)	protein_coding			
AT5G36000	AT5G36000.1	F-box protein RMF;(source:Araport11)	protein_coding			
AT2G06570	AT2G06570.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G36105	AT4G36105.2	polyamine-modulated factor 1-binding protein;(source:Araport11)	protein_coding			
AT4G08310	AT4G08310.1	DNA ligase;(source:Araport11)	protein_coding			
AT1G55205	AT1G55205.2	hypothetical protein;(source:Araport11)	protein_coding			
AT1G32975	AT1G32975.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G43810	AT1G43810.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G18310	AT5G18310.2	ubiquitin hydrolase;(source:Araport11)	protein_coding			
AT5G25070	AT5G25070.1	neurofilament light protein;(source:Araport11)	protein_coding			
AT5G54062	AT5G54062.1	egg cell-secreted-like protein;(source:Araport11)	protein_coding			
AT3G09032	AT3G09032.1	josephin-like protein;(source:Araport11)	protein_coding			
AT3G28291	AT3G28291.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G02870	AT1G02870.1	nucleolar-like protein;(source:Araport11)	protein_coding			
AT2G34050	AT2G34050.1	ATP synthase F1 complex assembly factor;(source:Araport11)	protein_coding			
AT2G46375	AT2G46375.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G41110	AT5G41110.1	meiosis chromosome segregation family protein;(source:Araport11)	protein_coding			
AT4G19160	AT4G19160.2	transglutaminase family protein;(source:Araport11)	protein_coding			
AT1G60640	AT1G60640.1	stress response protein;(source:Araport11)	protein_coding			
AT3G61500	AT3G61500.2	BPS1-like protein;(source:Araport11)	protein_coding			
AT1G66235	AT1G66235.1	no-apical-meristem-associated carboxy-terminal domain protein;(source:Araport11)	protein_coding			
AT1G23510	AT1G23510.1	OBP32pep protein;(source:Araport11)	protein_coding			
AT1G26290	AT1G26290.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G05800	AT5G05800.1	Myb/SANT-like DNA-binding domain protein;(source:Araport11)	protein_coding			
AT4G31441	AT4G31441.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT1G53635	AT1G53635.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G28400	AT5G28400.1	embryo defective protein;(source:Araport11)	protein_coding			
AT5G62330	AT5G62330.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G55050	AT1G55050.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G13845	AT3G13845.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G43500	AT3G43500.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G15260	AT1G15260.1	LOW protein: ATP-dependent RNA helicase-like protein;(source:Araport11)	protein_coding			
AT4G15640	AT4G15640.1	adenylyl cyclase;(source:Araport11)	protein_coding			
AT1G24822	AT1G24822.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G04000	AT1G04000.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G34010	AT1G34010.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G18970	AT2G18970.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G42146	AT5G42146.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G60630	AT5G60630.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G56990	AT5G56990.1	proteinase inhibitor I25, cystatin, motif protein;(source:Araport11)	protein_coding			
AT5G08320	AT5G08320.1	E2F-associated phosphoprotein;(source:Araport11)	protein_coding			
AT3G55670	AT3G55670.1	F-box/FBD/LRR protein;(source:Araport11)	protein_coding			
AT3G42940	AT3G42940.1	C3HC4-type RING finger protein;(source:Araport11)	protein_coding			
AT5G52550	AT5G52550.1	stress response NST1-like protein;(source:Araport11)	protein_coding			
AT2G23118	AT2G23118.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G07110	AT2G07110.1	exosome complex exonuclease RRP46-like protein;(source:Araport11)	protein_coding			
AT2G01310	AT2G01310.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G25580	AT5G25580.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G46940	AT2G46940.1	fold protein;(source:Araport11)	protein_coding			
AT5G41860	AT5G41860.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G61360	AT5G61360.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G64561	AT1G64561.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G22608	AT5G22608.2	hypothetical protein;(source:Araport11)	protein_coding			
AT4G20290	AT4G20290.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G43150	AT3G43150.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G47660	AT1G47660.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G62650	AT3G62650.2	hypothetical protein;(source:Araport11)	protein_coding			
AT4G23493	AT4G23493.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G47950	AT2G47950.1	myelin transcription factor-like protein;(source:Araport11)	protein_coding			
AT3G52040	AT3G52040.1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase;(source:Araport11)	protein_coding			
AT4G28020	AT4G28020.1	tRNA-thr(GGU) m(6)t(6)A37 methyltransferase;(source:Araport11)	protein_coding			
AT2G27775	AT2G27775.2	PPR containing protein;(source:Araport11)	protein_coding			
AT5G59305	AT5G59305.1	CLAVATA 3/ESR (CLE)-like protein;(source:Araport11)	protein_coding			
AT5G04853	AT5G04853.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT1G47970	AT1G47970.1	nucleolin;(source:Araport11)	protein_coding			
AT2G42510	AT2G42510.2	survival motor neuron interacting protein;(source:Araport11)	protein_coding			
AT4G32970	AT4G32970.1	BRISC/BRCA1-A complex protein;(source:Araport11)	protein_coding			
AT3G44150	AT3G44150.1	Expp1 protein;(source:Araport11)	protein_coding			
AT4G35510	AT4G35510.1	PHD finger-like protein;(source:Araport11)	protein_coding			
AT3G21352	AT3G21352.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G13220	AT4G13220.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G37685	AT4G37685.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G44430	AT3G44430.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G30105	AT2G30105.1	LRR/ubiquitin-like domain protein;(source:Araport11)	protein_coding			
AT2G48075	AT2G48075.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G41660	AT5G41660.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G19140	AT4G19140.1	exopolysaccharide production negative regulator;(source:Araport11)	protein_coding			
AT5G52547	AT5G52547.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G02090	AT5G02090.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G17190	AT3G17190.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G65495	AT5G65495.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G41810	AT5G41810.1	Avr9/Cf-9 rapidly elicited protein;(source:Araport11)	protein_coding			
AT5G23460	AT5G23460.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G32150	AT3G32150.1	myosin heavy chain-like protein;(source:Araport11)	protein_coding			
AT5G51510	AT5G51510.1	jagunal-like protein;(source:Araport11)	protein_coding			
AT5G28910	AT5G28910.2	alpha-(1,6)-fucosyltransferase;(source:Araport11)	protein_coding			
AT2G18690	AT2G18690.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G62978	AT1G62978.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G22440	AT2G22440.1	non-LTR retroelement reverse transcriptase;(source:Araport11)	protein_coding			
AT1G48460	AT1G48460.1	tRNA-processing ribonuclease BN;(source:Araport11)	protein_coding			
AT4G02870	AT4G02870.1	B3 domain protein;(source:Araport11)	protein_coding			
AT5G36900	AT5G36900.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G05095	AT4G05095.1	non-LTR retrolelement reverse transcriptase;(source:Araport11)	protein_coding			
AT3G15578	AT3G15578.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G17350	AT3G17350.1	wall-associated receptor kinase carboxy-terminal protein;(source:Araport11)	protein_coding			
AT3G57440	AT3G57440.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G13560	AT5G13560.1	structural maintenance of chromosomes protein;(source:Araport11)	protein_coding			
AT1G21395	AT1G21395.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G06540	AT1G06540.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G40011	AT4G40011.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G44755	AT3G44755.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G34869	AT5G34869.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G22440	AT4G22440.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G46500	AT5G46500.1	protein VARIATION IN COMPOUND TRIGGERED ROOT growth protein;(source:Araport11)	protein_coding			
AT4G36170	AT4G36170.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G01790	AT5G01790.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G27270	AT2G27270.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G80180	AT1G80180.1	Encodes a substrate of the MAPK kinases. Phenotypic analyses of Arabidopsis expressing phosphorylation site mutant forms of At1g80180.1 showed clustered stomata and higher stomatal index in cotyledons expressing the phosphomimetic form of At1g80180.1.	protein_coding			
AT3G14780	AT3G14780.1	callose synthase;(source:Araport11)	protein_coding			
AT2G21195	AT2G21195.2	hypothetical protein;(source:Araport11)	protein_coding			
AT4G18660	AT4G18660.1	delay of germination protein;(source:Araport11)	protein_coding			
AT4G08140	AT4G08140.1	26S proteasome non-ATPase regulatory subunit-like protein;(source:Araport11)	protein_coding			
AT4G33666	AT4G33666.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G45150	AT1G45150.1	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase;(source:Araport11)	protein_coding			
AT1G26750	AT1G26750.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G37010	AT1G37010.1	spindle pole body component;(source:Araport11)	protein_coding			
AT1G35430	AT1G35430.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G62990	AT3G62990.1	myelin transcription factor-like protein;(source:Araport11)	protein_coding			
AT1G16515	AT1G16515.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G65346	AT1G65346.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G43432	AT3G43432.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G47400	AT5G47400.1	sphingomyelin phosphodiesterase;(source:Araport11)	protein_coding			
AT2G36854	AT2G36854.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G58540	AT3G58540.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G17090	AT1G17090.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G17510	AT5G17510.1	mediator of RNA polymerase II transcription subunit-like protein;(source:Araport11)	protein_coding			
AT2G12405	AT2G12405.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G11690	AT1G11690.1	BRANCHLESS TRICHOME-like protein;(source:Araport11)	protein_coding			
AT1G78640	AT1G78640.1	B3 domain protein;(source:Araport11)	protein_coding			
AT2G11462	AT2G11462.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G55960	AT5G55960.1	transmembrane protein C9orf5 protein;(source:Araport11)	protein_coding			
AT2G37530	AT2G37530.1	forkhead box protein G1;(source:Araport11)	protein_coding			
AT5G22555	AT5G22555.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G52700	AT3G52700.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G50732	AT1G50732.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G01580	AT2G01580.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G27565	AT1G27565.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G13660	AT5G13660.2	N-lysine methyltransferase;(source:Araport11)	protein_coding			
AT2G19890	AT2G19890.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G21213	AT4G21213.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G01160	AT3G01160.1	pre-rRNA-processing ESF1-like protein;(source:Araport11)	protein_coding			
AT5G52410	AT5G52410.2	oxidoreductase/transition metal ion-binding protein;(source:Araport11)	protein_coding			
AT4G37445	AT4G37445.1	calcium ion-binding protein;(source:Araport11)	protein_coding			
AT1G61575	AT1G61575.1	Serine/Threonine kinase;(source:Araport11)	protein_coding			
AT2G04790	AT2G04790.2	PTB domain engulfment adapter;(source:Araport11)	protein_coding			
AT2G07776	AT2G07776.2	hypothetical protein;(source:Araport11)	protein_coding			
AT3G55570	AT3G55570.1	cytoplasmic tRNA 2-thiolation protein;(source:Araport11)	protein_coding			
AT3G31430	AT3G31430.1	zinc knuckle (CCHC-type) family protein;(source:Araport11)	protein_coding			
AT5G60150	AT5G60150.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G48050	AT5G48050.1	Copia-like polyprotein/retrotransposon;(source:Araport11)	protein_coding			
AT3G60850	AT3G60850.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G07673	AT2G07673.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G28720	AT3G28720.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G68330	AT1G68330.1	membrane-associated kinase regulator;(source:Araport11)	protein_coding			
AT3G25590	AT3G25590.1	micronuclear linker histone polyprotein-like protein;(source:Araport11)	protein_coding			
AT5G24890	AT5G24890.1	stress response NST1-like protein;(source:Araport11)	protein_coding			
AT3G59870	AT3G59870.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G06320	AT1G06320.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G26890	AT5G26890.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G33860	AT1G33860.2	hypothetical protein;(source:Araport11)	protein_coding			
AT4G32020	AT4G32020.1	serine/arginine repetitive matrix-like protein;(source:Araport11)	protein_coding			
AT2G07981	AT2G07981.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G03380	AT4G03380.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G16025	AT1G16025.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G25000	AT5G25000.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G24592	AT2G24592.1	hypothetical protein;(source:Araport11)	long_noncoding_rna			
AT3G23450	AT3G23450.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G06590	AT1G06590.1	anaphase-promoting complex subunit;(source:Araport11)	protein_coding			
AT4G09970	AT4G09970.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G11060	AT3G11060.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G32225	AT1G32225.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G52857	AT1G52857.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G56010	AT3G56010.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G43066	AT5G43066.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G30662	AT4G30662.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G04854	AT3G04854.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G45500	AT3G45500.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G01671	AT4G01671.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G63055	AT1G63055.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G50540	AT3G50540.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G65610	AT5G65610.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G75360	AT1G75360.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G04800	AT2G04800.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G45520	AT2G45520.1	coiled-coil protein;(source:Araport11)	protein_coding			
AT3G47410	AT3G47410.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G75860	AT1G75860.1	DNA ligase;(source:Araport11)	protein_coding			
AT3G42870	AT3G42870.1	heat shock protein;(source:Araport11)	protein_coding			
AT1G36920	AT1G36920.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G08868	AT4G08868.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G29570	AT3G29570.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G15770	AT3G15770.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G21370	AT1G21370.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G21010	AT1G21010.1	poly polymerase;(source:Araport11)	protein_coding			
AT3G60380	AT3G60380.1	cotton fiber protein;(source:Araport11)	protein_coding			
AT2G19390	AT2G19390.1	serine/arginine repetitive matrix protein;(source:Araport11)	protein_coding			
AT3G57930	AT3G57930.1	rho GTPase-activating gacO-like protein;(source:Araport11)	protein_coding			
